ind,ponto,ponto,especie,ctMm,cpMm,massaG
1,27,ponto27,Cichlasoma paranaense,108.5,86.1,30.3
2,11,ponto11,Rhamdia quelen,170.8,140.1,44.3
3,11,ponto11,Rhamdia quelen,117.9,95.9,14.7
4,1,ponto01,Rhamdia quelen,120.5,99.3,16.3
5,15,ponto15,Rhamdia quelen,86.2,68.6,5.1
6,45,ponto45,Psalidodon gr. fasciatus,66.6,53.3,3.2
7,27,ponto27,Psalidodon gr. fasciatus,93.6,81,12.8
8,46,ponto46,Psalidodon gr. fasciatus,81.7,67.4,7
9,46,ponto46,Psalidodon gr. fasciatus,69.1,53.6,3.7
10,33,ponto33,Cichlasoma paranaense,53.4,41.6,2.6
11,43,ponto43,Characidium gomesi,62.6,48.5,2
12,43,ponto43,Characidium gomesi,73.1,61.7,3.9
13,15,ponto15,Rhamdia quelen,107.2,89.5,8.7
14,51,ponto51,Ancistrus aguaboensis,69.9,67,6.7
15,51,ponto51,Ancistrus aguaboensis,62.4,50.8,3.9
16,51,ponto51,Ancistrus aguaboensis,61.9,50.2,4
17,51,ponto51,Ancistrus aguaboensis,58.8,48.2,3.8
18,51,ponto51,Ancistrus aguaboensis,57.2,44.2,2.9
19,51,ponto51,Ancistrus aguaboensis,46.8,37.7,1.7
20,51,ponto51,Ancistrus aguaboensis,52.8,41,2.3
21,51,ponto51,Ancistrus aguaboensis,40.7,31.2,1
22,51,ponto51,Ancistrus aguaboensis,58.3,46.6,3.7
23,51,ponto51,Ancistrus aguaboensis,58.4,46.2,3.7
24,51,ponto51,Astyanax cf. goyanensis,85.6,69.5,9.1
25,51,ponto51,Astyanax cf. goyanensis,73.1,59.6,5
26,51,ponto51,Astyanax cf. goyanensis,80,66.6,7.4
27,51,ponto51,Astyanax cf. goyanensis,74.5,61.7,5.7
28,51,ponto51,Astyanax cf. goyanensis,51.7,42.7,1.7
29,15,ponto15,Psalidodon gr. fasciatus,89.1,65.9,6.8
30,15,ponto15,Psalidodon gr. fasciatus,97.1,79.2,8.4
31,15,ponto15,Psalidodon gr. fasciatus,107.1,90.3,19.1
32,15,ponto15,Psalidodon gr. fasciatus,81.1,66.2,7.2
33,44,ponto44,Psalidodon gr. fasciatus,75.2,61.4,4.3
34,44,ponto44,Psalidodon gr. fasciatus,72.2,57.4,3.4
